Date,Type,Model,模型尺寸,自研基础模型,机构,机构类型,区域
2024/2/24,LLM,qwen1.5,0.5B、1.8B、4B、7B、14B、72B、110B,是,阿里,科技大厂,国内
2024/2/24,LLM,gemma1,"2B, 7B",是,谷歌,科技大厂,国外
2024/2/24,LMM,InternVL−Chat−V1.2(Yi-34B),40B,否,OpenGVLab,学术机构,国内
2024/3/24,LLM,Grok-1,314B,是,X.AI,大模型创业公司,国外
2024/3/24,LMM,deepseek-vl-7b-chat,7B,是,深度求索,大模型创业公司,国内
2024/3/24,LMM,Mini-Gemini-HD(Yi-34B),34B,否,港中文,学术机构,国内
2024/3/24,LMM,mPLUG-DocOwl 1.5(llama2-7b),8B,否,阿里,科技大厂,国内
2024/4/24,LLM,llama3,"8B, 70B",是,Meta,科技大厂,国外
2024/4/24,LLM,OpenELM,"0.27B, 0.45B, 1.1B, 3B",是,苹果,科技大厂,国外
2024/4/24,LMM,IDEFICS2-8B,8B,否,Hugging Face,其他企业,国外
2024/4/24,LMM,MiniCPM-V2.0,2.8B,是,面壁智能,大模型创业公司,国内
2024/4/24,LMM,InternVL-Chat-V1.5(InternLM2-20B),26B,是,OpenGVLab,学术机构,国内
2024/4/24,LMM,LLaVA-NeXT-LLaMA3-8B,8.4B,否,University of Wisconsin-Madison,学术机构,国外
2024/4/24,LMM,Bunny-Llama-3-8B-V（v1.1）,8B,否,智源研究院,学术机构,国内
2024/4/30,LLM,Phi-3,"Mini(3.8B), Small(7B), Medium(14B)",是,微软,科技大厂,国外
2024/5/24,LMM,Phi-3-Vision,4.2B,是,微软,科技大厂,国外
2024/5/24,LLM,DeepSeek-V2,236B moe,是,深度求索,大模型创业公司,国内
2024/5/24,LLM,YI1.5,"6B, 9B, 34B",是,零一万物,大模型创业公司,国内
2024/5/24,LMM,LLaVA-NeXT-110B(qwen1.5-110b),110B,否,University of Wisconsin-Madison,学术机构,国外
2024/5/24,LMM,CogVLM2-LLaMA3,19B,否,智谱AI,大模型创业公司,国内
2024/5/24,LMM,MiniCPM-Llama3-V 2.5,8B,否,面壁智能,大模型创业公司,国内
2024/6/24,LLM,qwen2,0.5B、1.5B、7B、57B-A14B、72B,是,阿里,科技大厂,国内
2024/6/24,LLM,GLM-4-9B,9B,是,智谱AI,大模型创业公司,国内
2024/6/24,LLM,gemma2,"9B, 27B",是,谷歌,科技大厂,国外
2024/6/24,LMM,glm-4v-9b,9B,是,智谱AI,大模型创业公司,国内
2024/7/24,LMM,CogVLM2-Video-Llama3-Chat,8B,否,智谱AI,大模型创业公司,国内
2024/7/24,LMM,InternLM-XComposer-2.5,8B,是,上海AI实验室,学术机构,国内
2024/7/24,LMM,InternVL2,"8B, 26B",是,OpenGVLab,学术机构,国内
2024/7/24,LMM,InternVL2-Llama3-76B,76B,否,OpenGVLab,学术机构,国内
2024/7/24,LLM,llama3.1,"8B, 70B, 405B",是,Meta,科技大厂,国外
2024/8/24,LLM,Phi-3.5-mini,3.8B,是,微软,科技大厂,国外
2024/8/24,LMM,Phi-3.5-vision,4.2B,是,微软,科技大厂,国外
2024/8/24,LLM,Phi-3.5-MoE,42B-A6.6B,是,微软,科技大厂,国外
